YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,4,16,16,6.51,0.0,78.54,4.16,99.32,202104
2021,4,16,17,5.19,0.0,84.66,4.55,99.35,202104
2021,4,16,18,3.86,0.0,92.53,4.57,99.35,202104
2021,4,16,19,3.42,0.0,94.22,4.26,99.35,202104
2021,4,16,20,3.12,0.0,95.2,4.01,99.34,202104
2021,4,16,21,3.01,0.0,95.93,3.8,99.32,202104
2021,4,16,22,3.0,0.0,96.4,3.61,99.31,202104
2021,4,16,23,3.07,0.0,95.91,3.61,99.29,202104
2021,4,17,0,3.14,0.0,96.03,3.61,99.27,202104
2021,4,17,1,3.21,0.0,96.78,3.53,99.25,202104
2021,4,17,2,3.31,0.0,97.33,3.35,99.26,202104
2021,4,17,3,3.33,0.0,98.62,3.34,99.26,202104
2021,4,17,4,3.32,0.0,100.0,3.61,99.24,202104
2021,4,17,5,3.6,0.0,99.34,3.87,99.23,202104
2021,4,17,6,4.54,0.0,93.94,4.26,99.25,202104
2021,4,17,7,5.16,0.0,87.82,4.42,99.27,202104
2021,4,17,8,5.68,0.0,81.43,4.62,99.29,202104
2021,4,17,9,6.11,0.0,76.02,4.74,99.31,202104
2021,4,17,10,6.3,0.0,73.38,4.93,99.33,202104
2021,4,17,11,6.45,0.0,71.8,4.96,99.32,202104
2021,4,17,12,6.8,0.0,70.41,4.65,99.32,202104
2021,4,17,13,7.28,0.0,68.74,4.24,99.31,202104
2021,4,17,14,7.74,0.0,67.8,3.75,99.28,202104
2021,4,17,15,7.94,0.0,66.87,3.27,99.26,202104
2021,4,17,16,7.79,0.0,66.21,2.86,99.26,202104
2021,4,17,17,7.13,0.0,68.48,2.45,99.27,202104
2021,4,17,18,5.65,0.0,75.86,2.19,99.29,202104
2021,4,17,19,4.93,0.0,73.56,2.18,99.32,202104
2021,4,17,20,4.75,0.0,70.04,1.84,99.32,202104
2021,4,17,21,5.07,0.0,65.05,1.05,99.32,202104
2021,4,17,22,5.3,0.0,64.72,0.45,99.31,202104
2021,4,17,23,5.24,0.0,67.68,0.98,99.31,202104
2021,4,18,0,5.08,0.0,69.87,1.53,99.28,202104
2021,4,18,1,4.92,0.0,72.65,1.91,99.26,202104
2021,4,18,2,4.85,0.0,75.21,2.12,99.25,202104
2021,4,18,3,4.75,0.0,77.58,2.24,99.25,202104
2021,4,18,4,4.61,0.0,79.47,2.3,99.25,202104
2021,4,18,5,4.6,0.0,80.85,2.22,99.26,202104
2021,4,18,6,5.38,0.0,79.77,2.13,99.28,202104
2021,4,18,7,5.91,0.0,78.26,2.07,99.29,202104
2021,4,18,8,6.73,0.0,77.34,2.2,99.29,202104
2021,4,18,9,8.25,0.0,70.71,2.62,99.27,202104
2021,4,18,10,9.84,0.0,61.14,2.9,99.23,202104
2021,4,18,11,11.21,0.0,53.73,3.01,99.15,202104
2021,4,18,12,12.01,0.0,50.81,3.02,99.08,202104
2021,4,18,13,12.26,0.0,50.62,3.06,99.03,202104
2021,4,18,14,12.29,0.0,51.82,3.13,98.98,202104
2021,4,18,15,12.24,0.0,52.65,3.18,98.96,202104
2021,4,18,16,12.01,0.0,55.02,3.08,98.94,202104
2021,4,18,17,11.34,0.0,63.27,2.73,98.93,202104
2021,4,18,18,10.52,0.0,64.2,2.85,98.91,202104
2021,4,18,19,10.05,0.0,64.95,3.09,98.89,202104
2021,4,18,20,9.45,0.0,67.6,3.68,98.87,202104
2021,4,18,21,8.82,0.0,70.94,4.35,98.84,202104
2021,4,18,22,8.3,0.0,74.34,5.05,98.82,202104
